"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"universal.sentence.encoder.4.WhiteSpace",0.66328116396003,0.662906671043261,0.663093864626426,0.678567998600348,0.605806516982468,0.640126241653593,0.663310474522157,0.684126361981512,0.673557631059819,0.658925912446613
"universal.sentence.encoder.4.BioCNLPTokenizer",0.664279610237466,0.668165827021276,0.66621705135007,0.662466540369108,0.590932020732336,0.624657955604902,0.663310474522157,0.684126361981512,0.673557631059819,0.654810879338264
"universal.sentence.encoder.4.StanfordCoreNLPv3_9_1",0.653976782342125,0.651864250759525,0.652918807770976,0.678161301602085,0.604205549340827,0.639050863604114,0.638572839356623,0.657874984560182,0.648080222099626,0.646683297824905
