"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"sent2vec.WhiteSpace",0.806812383589851,0.78674081798951,0.796650195299971,0.739294978160827,0.616342764982747,0.672243175999041,0.770579333993719,0.807462217354398,0.788589751825594,0.752494374374869
"sent2vec.BioCNLPTokenizer",0.809399504316635,0.787174562812439,0.798132343583335,0.722042969425175,0.600622730003102,0.655759682379533,0.770579333993719,0.807462217354398,0.788589751825594,0.747493925929487
"sent2vec.StanfordCoreNLPv3_9_1",0.801627613420803,0.77854183598942,0.789916086740427,0.736906516081816,0.612637156348163,0.669050319348179,0.749898977275014,0.785304308134256,0.767193378383823,0.74205326149081
