"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"sent2vec.None",0.779741857857475,0.756077468701885,0.767727349089325,0.724773944544726,0.606154119963546,0.660177997960138,0.797918381938038,0.829677454645295,0.813488062897424,0.747131136648962
"sent2vec.Default",0.801627613420803,0.77854183598942,0.789916086740427,0.736906516081816,0.612637156348163,0.669050319348179,0.749898977275014,0.785304308134256,0.767193378383823,0.74205326149081
"sent2vec.BIOSSES",0.785177597987527,0.758523307564513,0.771620339806792,0.731016514030906,0.619132543978699,0.670438736134237,0.759682469435189,0.797448101164958,0.77810731376998,0.740055463237003
"sent2vec.Blagec",0.785177597987527,0.758523307564513,0.771620339806792,0.731016514030906,0.619132543978699,0.670438736134237,0.759682469435189,0.797448101164958,0.77810731376998,0.740055463237003
