"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"universal.sentence.encoder.4.Default",0.664279610237466,0.668165827021276,0.66621705135007,0.662466540369108,0.590932020732336,0.624657955604902,0.663310474522157,0.684126361981512,0.673557631059819,0.654810879338264
"universal.sentence.encoder.4.None",0.663933740875486,0.653454648443598,0.658652516981537,0.652412989874041,0.594942842544347,0.622353988526228,0.65495654111077,0.67356092051587,0.664128464202964,0.64837832323691
"universal.sentence.encoder.4.BIOSSES",0.663933740875486,0.653454648443598,0.658652516981537,0.652412989874041,0.594942842544347,0.622353988526228,0.65495654111077,0.67356092051587,0.664128464202964,0.64837832323691
"universal.sentence.encoder.4.Blagec",0.663933740875486,0.653454648443598,0.658652516981537,0.652412989874041,0.594942842544347,0.622353988526228,0.65495654111077,0.67356092051587,0.664128464202964,0.64837832323691
