"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"biobert_v1.0_pubmed.BIOSSES",0.569,0.567,0.568,-0.031,-0.037,-0.034,0.616,0.642,0.629,0.388
"biobert_v1.0_pubmed.Blagec",0.569,0.567,0.568,-0.031,-0.037,-0.034,0.616,0.642,0.629,0.388
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.BIOSSES",0.548,0.543,0.545,-0.031,-0.036,-0.033,0.601,0.629,0.615,0.376
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.Blagec",0.548,0.543,0.545,-0.031,-0.036,-0.033,0.601,0.629,0.615,0.376
"biobert_v1.0_pubmed.None",0.513,0.524,0.519,-0.031,-0.036,-0.033,0.603,0.633,0.618,0.368
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.None",0.48,0.485,0.482,-0.03,-0.036,-0.033,0.581,0.604,0.593,0.347
"biobert_v1.0_pubmed.Default",0.557,0.532,0.544,-0.031,-0.037,-0.034,0.511,0.514,0.512,0.341
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.Default",0.493,0.471,0.482,-0.031,-0.037,-0.034,0.511,0.532,0.521,0.323
