"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BioWordVec_intrinsic",0.806,0.763,0.784,0.703,0.659,0.68,0.761,0.735,0.748,0.737
"bioc_skipgram_Nonechar200dim",0.812,0.793,0.802,0.698,0.604,0.648,0.733,0.697,0.714,0.722
"BioWordVec_extrinsic",0.755,0.74,0.747,0.693,0.649,0.671,0.711,0.714,0.713,0.71
"BioNLP2016_PubMed.shuffle.win.30",0.694,0.683,0.689,0.717,0.643,0.678,0.705,0.758,0.731,0.699
"BioNLP2016_PubMed.shuffle.win.2",0.624,0.621,0.622,0.706,0.631,0.666,0.679,0.735,0.706,0.665
"stanford_skipgram_nonechar200dim",0.497,0.6,0.544,0.49,0.475,0.482,0.743,0.729,0.736,0.587
"bioc_skipgram_defaultchar",0.121,0.285,0.17,0.267,0.392,0.317,0.236,0.297,0.263,0.25
"stanf_skipgram_defaultchar200dim",0.118,0.291,0.168,0.296,0.397,0.339,0.189,0.29,0.229,0.245
"bioc_skipgram_Defaultchar200dim_8ene",0.111,0.272,0.158,0.262,0.38,0.31,0.166,0.222,0.19,0.219
