"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Cai",0.796,0.814,0.805,0.745,0.681,0.712,0.793,0.795,0.794,0.77
"WBSM.Lin",0.796,0.814,0.805,0.746,0.682,0.712,0.791,0.793,0.792,0.77
"WBSM.Resnik",0.796,0.814,0.805,0.746,0.682,0.712,0.791,0.793,0.792,0.77
"WBSM.CosNormJConrath",0.796,0.814,0.805,0.746,0.682,0.712,0.791,0.793,0.792,0.77
"WBSM.CosineNormWeightedJiangConrath",0.796,0.814,0.805,0.718,0.673,0.695,0.72,0.72,0.72,0.74
"WBSM.WuPalmerFast",0.318,0.363,0.339,0.745,0.681,0.712,0.793,0.795,0.794,0.615
"WBSM.WeightedJiangConrath",0.317,0.361,0.337,0.745,0.681,0.712,0.793,0.795,0.794,0.614
"WBSM.Rada",0.317,0.361,0.337,0.718,0.673,0.695,0.72,0.72,0.72,0.584
"WBSM.JiangConrath",0.317,0.361,0.337,0.718,0.673,0.695,0.72,0.72,0.72,0.584
