"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Cai",0.795673199812304,0.813967149738395,0.804716217203712,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.770107993828302
"WBSM.Lin",0.795673199812304,0.813967149738395,0.804716217203712,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.769650649375621
"WBSM.Resnik",0.795673199812304,0.813967149738395,0.804716217203712,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.769650649375621
"WBSM.CosNormJConrath",0.795673199812304,0.813967149738395,0.804716217203712,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.769650649375621
"WBSM.CosineNormWeightedJiangConrath",0.795673199812304,0.813967149738395,0.804716217203712,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.739716228431149
"WBSM.WuPalmerFast",0.317562627604479,0.363114208013227,0.338814238955424,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.614807334412206
"WBSM.WeightedJiangConrath",0.31669298103623,0.360632179067297,0.337237376001084,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.614281713427426
"WBSM.Rada",0.31669298103623,0.360632179067297,0.337237376001084,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.583889948030273
"WBSM.JiangConrath",0.31669298103623,0.360632179067297,0.337237376001084,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.583889948030273
